Date,Open,High,Low,Close
26-Feb-20,15390.4,15401.25,15215.92,15256.99
25-Feb-20,15523.9,15554.5,15398.8,15418.71
24-Feb-20,15753.21,15753.21,15448.28,15469.29
20-Feb-20,15824.05,15881.67,15776.1,15787.45
19-Feb-20,15695.64,15817.09,15691.11,15808.75
18-Feb-20,15683.89,15683.94,15493.62,15614.26
17-Feb-20,15832.24,15842.78,15677,15684.42
14-Feb-20,15908.91,15977.95,15780.35,15797.63
13-Feb-20,15964.8,15964.8,15850.36,15890.91
12-Feb-20,15885.99,15972.37,15885.44,15921.17
11-Feb-20,15847.47,15934.45,15832.25,15841.41
10-Feb-20,15887.39,15888.51,15735.75,15779.84
07-Feb-20,15911.04,15911.04,15829.39,15866.56
06-Feb-20,15825.77,15906.62,15796.03,15875.09
05-Feb-20,15691.1,15800.42,15628.17,15792.95
04-Feb-20,15424.85,15646.03,15409.89,15635.88
03-Feb-20,15255.5,15369.03,15179.74,15319.69
01-Feb-20,15665.87,15741.15,15211.7,15248.38
31-Jan-20,15825.83,15827.29,15633.01,15649.81
30-Jan-20,15946.43,15946.43,15722.17,15747.03
29-Jan-20,15865.07,15939.11,15864.68,15891.9
28-Jan-20,15929.33,15944.21,15771.2,15806.64
27-Jan-20,15987.11,16005.05,15866.84,15879.53
24-Jan-20,15920.97,16044.67,15886.17,16013.34
23-Jan-20,15821.6,15926.47,15795.69,15917.63
22-Jan-20,15903.81,15931.72,15781.6,15796.54
21-Jan-20,15912.32,15934.19,15850.53,15860.72
20-Jan-20,16156.88,16158.41,15914.48,15921.29
17-Jan-20,16046.25,16097.26,16015.5,16062.95
16-Jan-20,16044.43,16087.25,16000.6,16048.77
15-Jan-20,16004.86,16028.28,15928.35,16014.8
14-Jan-20,15960.58,16008.04,15927.62,15996.72
13-Jan-20,15893.59,15947.84,15877.82,15942.11
10-Jan-20,15821.04,15906.74,15787.22,15835.35
09-Jan-20,15674.88,15790.4,15669.33,15779.59
08-Jan-20,15457.27,15546.36,15399.68,15539.3
07-Jan-20,15571.04,15683.38,15498.57,15554.84
06-Jan-20,15749.73,15749.73,15443.81,15466.47
